"Статус","Количество"
"Active","32"
"Withdrawn","57"
"Final","281"
"Rejected","124"
"Draft","32"
"Accepted","45"
"Superseded","20"
"Deferred","36"
"Provisional","1"
"April Fool!","1"
"Total","629"
